# vencprobe shm=mabur_f slots=8 slot_data=393216 low=3000 high=10000 dwell_ms=2500 cycles=0 duration_ms=600000
# f,mono_us,write_idx,len,pts_us,flags,enc_us
# c,mono_us_before,mono_us_after,kbps,ok
# s,mono_us,req_bitrate_kbps,qp  (25 ms poll; a change we did not command is RcAgent; qp = encoder startQual of the last frame, -1 if the daemon predates it)
s,2444435479,16000,0
f,2444438732,2478,34505,2444447208,2,7247
f,2444461251,2479,33534,2444464030,6,8016
s,2444461952,16000,0
f,2444472131,2480,34013,2444480844,2,7169
s,2444487838,16000,0
f,2444489009,2481,32627,2444497665,6,7284
f,2444506589,2482,34475,2444514472,2,7983
s,2444513451,-1,-1
f,2444522503,2483,33959,2444531291,6,7110
s,2444539802,16000,0
f,2444540048,2484,34547,2444548103,2,7362
f,2444556131,2485,33705,2444564922,6,7096
s,2444565498,-1,-1
f,2444573025,2486,33410,2444581733,2,7264
f,2444590568,2487,32507,2444598554,6,7964
s,2444591162,-1,-1
f,2444606670,2488,33931,2444615371,2,7185
s,2444617204,-1,-1
f,2444623710,2489,33725,2444632181,6,7431
f,2444641006,2490,34635,2444648997,2,8002
s,2444642809,-1,-1
f,2444657060,2491,33255,2444665818,6,7119
s,2444668646,16000,0
f,2444673910,2492,33832,2444682626,2,7201
f,2444691425,2493,33090,2444699454,6,7856
s,2444695166,16000,0
f,2444707654,2494,33777,2444716240,2,7295
s,2444721329,16000,0
f,2444725243,2495,32933,2444733088,6,8040
f,2444741201,2496,34261,2444749896,2,7178
s,2444748692,16000,0
f,2444758731,2497,33445,2444766711,6,7922
s,2444774356,16000,0
f,2444774880,2498,34500,2444783527,2,7240
f,2444791533,2499,33561,2444800354,6,7088
s,2444800274,16000,0
f,2444808446,2500,33816,2444817155,2,7164
f,2444825361,2501,33419,2444833985,6,7260
s,2444826160,16000,0
f,2444842886,2502,33499,2444850793,2,7988
s,2444853387,16000,0
f,2444858824,2503,32694,2444867609,6,7102
f,2444875951,2504,35043,2444884423,2,7391
s,2444879734,16000,0
f,2444892462,2505,33907,2444901238,6,7096
s,2444906219,16000,0
f,2444909435,2506,34513,2444918054,2,7284
f,2444926926,2507,33686,2444934875,6,7945
s,2444932078,16000,0
f,2444943022,2508,33697,2444951689,2,7223
s,2444958802,16000,0
f,2444959984,2509,32856,2444968508,6,7260
f,2444977569,2510,34403,2444985323,2,8138
s,2444985242,16000,0
f,2444993515,2511,33663,2445002135,6,7256
s,2445010836,-1,-1
f,2445011023,2512,34387,2445018926,2,7971
f,2445028020,2513,33627,2445035770,6,8096
s,2445039372,16000,0
f,2445044095,2514,33887,2445052586,2,7477
f,2445061378,2515,33676,2445069399,6,7965
s,2445065069,-1,-1
f,2445078330,2516,34118,2445086219,2,8098
s,2445091300,16000,0
f,2445094228,2517,33095,2445103030,6,7153
f,2445111145,2518,33975,2445119847,2,7229
s,2445116986,16000,0
f,2445127869,2519,33195,2445136668,6,7135
s,2445143090,16000,0
f,2445145587,2520,34485,2445153478,2,7974
f,2445161558,2521,34070,2445170292,6,7136
s,2445169535,16000,0
f,2445178631,2522,24111,2445187110,2,7275
s,2445195764,16000,0
f,2445195970,2523,33329,2445203929,6,7297
f,2445212044,2524,33456,2445220741,2,7185
s,2445222669,16000,0
f,2445229206,2525,32639,2445237561,6,7342
f,2445246666,2526,34757,2445254374,2,8158
s,2445250184,16000,0
f,2445262657,2527,34060,2445271192,6,7346
s,2445276469,16000,0
f,2445280192,2528,34728,2445288003,2,8023
f,2445296227,2529,33729,2445304820,6,7295
s,2445303782,16000,0
f,2445312693,2530,23837,2445321633,2,6976
s,2445330098,16000,0
f,2445330289,2531,32598,2445338453,6,7043
f,2445346596,2532,33719,2445355269,2,7209
s,2445357235,16000,0
f,2445364140,2533,32931,2445372094,6,7952
f,2445380272,2534,33696,2445388900,2,7302
s,2445384923,16000,0
f,2445396971,2535,32810,2445405717,6,7127
s,2445411253,16000,0
f,2445413986,2536,33685,2445422532,2,7344
f,2445430714,2537,33416,2445439345,6,7239
s,2445437617,16000,0
f,2445448542,2538,33998,2445456160,2,8176
s,2445464989,16000,0
f,2445465241,2539,33234,2445472984,6,7280
f,2445481114,2540,33551,2445489799,2,7248
s,2445492028,16000,0
f,2445497812,2541,33150,2445506623,6,7083
f,2445514904,2542,34636,2445523428,2,7361
s,2445518918,16000,0
f,2445531652,2543,33746,2445540225,6,7246
s,2445545351,16000,0
f,2445548478,2544,34009,2445557062,2,7281
f,2445565322,2545,33245,2445573875,6,7234
s,2445572895,16000,0
f,2445582000,2546,33788,2445590701,2,7201
s,2445598880,16000,0
f,2445599603,2547,32504,2445607512,6,7995
f,2445616692,2548,34670,2445624324,2,8162
s,2445628271,16000,0
f,2445633480,2549,33913,2445641144,6,8222
f,2445650106,2550,24464,2445657957,2,7955
s,2445654037,16000,0
f,2445666870,2551,32907,2445674770,6,7998
s,2445680488,16000,0
f,2445682921,2552,32655,2445691586,2,7233
f,2445700613,2553,32385,2445708400,6,8032
s,2445706555,16000,0
f,2445716691,2554,33757,2445725221,2,7368
s,2445732344,16000,0
f,2445734027,2555,33091,2445742035,6,7974
f,2445751100,2556,33671,2445758846,2,8103
s,2445758876,-1,-1
f,2445767000,2557,33374,2445775666,6,7207
s,2445785452,16000,0
f,2445785643,2558,36652,2445792487,2,8463
f,2445800902,2559,37222,2445809275,6,7249
s,2445812402,16000,0
f,2445817331,2560,27515,2445826102,2,7131
f,2445834192,2561,27014,2445842933,6,7167
s,2445838255,16000,0
f,2445851828,2562,27679,2445859752,2,7986
s,2445864582,16000,0
f,2445867837,2563,27703,2445876558,6,7115
f,2445884839,2564,31892,2445893378,2,7359
s,2445891945,16000,0
f,2445901393,2565,29570,2445910195,6,6931
s,2445917680,16000,0
f,2445918104,2566,26702,2445927009,2,7014
f,2445935011,2567,24551,2445943796,6,7100
s,2445943491,16000,0
f,2445952011,2568,24156,2445960639,2,7219
f,2445968726,2569,23098,2445977454,6,7103
s,2445971380,16000,0
f,2445985754,2570,35119,2445994273,2,7302
s,2445997404,16000,0
f,2446002382,2571,33823,2446011086,6,7181
f,2446019891,2572,34622,2446027908,2,7873
s,2446023820,16000,0
f,2446035936,2573,33755,2446044721,6,7125
s,2446050067,-1,-1
f,2446052883,2574,33942,2446061508,2,7347
f,2446070501,2575,32898,2446078351,6,7986
s,2446075821,16000,0
f,2446087432,2576,33867,2446095171,2,8112
s,2446102020,16000,0
f,2446103237,2577,33089,2446111984,6,7146
f,2446120993,2578,33612,2446128802,2,8082
s,2446127942,16000,0
f,2446136929,2579,32610,2446145588,6,7245
s,2446153905,16000,0
f,2446154559,2580,34285,2446162446,2,8007
f,2446170457,2581,34211,2446179247,6,7116
s,2446181021,16000,0
f,2446187401,2582,34047,2446196058,2,7239
f,2446205038,2583,33592,2446212879,6,8043
s,2446208811,16000,0
f,2446220971,2584,33766,2446229704,2,7149
s,2446235050,16000,0
f,2446237901,2585,32946,2446246512,6,7287
f,2446255308,2586,35252,2446263345,2,7950
s,2446260626,-1,-1
f,2446271332,2587,34231,2446280142,6,7094
s,2446286582,16000,0
f,2446288260,2588,34355,2446296958,2,7288
f,2446305953,2589,33531,2446313777,6,8004
s,2446312245,-1,-1
f,2446321872,2590,33734,2446330591,2,7183
s,2446338197,16000,0
f,2446339626,2591,32829,2446347414,6,8050
f,2446355490,2592,34800,2446364223,2,7167
s,2446363746,-1,-1
f,2446373065,2593,33465,2446381045,6,7935
s,2446389545,-1,-1
f,2446389735,2594,34226,2446397854,2,7191
f,2446406655,2595,33351,2446414670,6,7942
s,2446415183,16000,0
f,2446423747,2596,33749,2446431483,2,8115
f,2446439500,2597,33202,2446448301,6,7146
s,2446440784,-1,-1
f,2446457229,2598,33772,2446465122,2,8058
s,2446466541,16000,0
f,2446474168,2599,32891,2446481929,6,8194
f,2446490220,2600,33968,2446498753,2,7262
s,2446492220,-1,-1
f,2446507564,2601,33395,2446515564,6,7960
s,2446518092,16000,0
f,2446523685,2602,34748,2446532379,2,7197
f,2446540582,2603,34345,2446549203,6,7351
s,2446543818,16000,0
f,2446557365,2604,34284,2446566013,2,7248
s,2446569563,16000,0
f,2446574913,2605,33285,2446582828,6,7987
f,2446591874,2606,34038,2446599645,2,8147
s,2446595641,16000,0
f,2446607823,2607,32833,2446616465,6,7251
s,2446622108,16000,0
f,2446624734,2608,35100,2446633278,2,7326
f,2446641421,2609,33268,2446650093,6,7254
s,2446648012,16000,0
f,2446658251,2610,34303,2446666880,2,7280
s,2446673888,16000,0
f,2446675910,2611,33684,2446683726,6,8026
f,2446692768,2612,33657,2446700547,2,8127
s,2446699794,16000,0
f,2446708802,2613,32458,2446717354,6,7314
s,2446725670,16000,0
f,2446726308,2614,34231,2446734181,2,8028
f,2446742186,2615,33703,2446750989,6,7095
s,2446751544,16000,0
f,2446759113,2616,34764,2446767804,2,7207
f,2446776593,2617,33050,2446784624,6,7857
s,2446777442,16000,0
f,2446792755,2618,33886,2446801440,2,7233
s,2446803473,-1,-1
f,2446810484,2619,33702,2446818225,6,8116
f,2446826349,2620,34165,2446835065,2,7177
s,2446829200,-1,-1
f,2446843251,2621,33633,2446851891,6,7251
s,2446855264,16000,0
f,2446859774,2622,24528,2446868703,2,6964
f,2446876807,2623,32469,2446885517,6,7176
s,2446881253,16000,0
f,2446894046,2624,34816,2446902322,2,7619
s,2446907329,16000,0
f,2446911351,2625,33826,2446919145,6,8112
f,2446927294,2626,34091,2446935963,2,7233
s,2446933507,16000,0
f,2446943759,2627,23999,2446952788,6,6940
s,2446959459,-1,-1
f,2446960861,2628,33661,2446969594,2,7178
f,2446978423,2629,32933,2446986416,6,7863
s,2446985130,16000,0
f,2446994537,2630,34714,2447003220,2,7213
s,2447011047,16000,0
f,2447012039,2631,33706,2447020050,6,7879
f,2447028949,2632,34364,2447036855,2,7982
s,2447038898,16000,0
f,2447044981,2633,33339,2447053671,6,7195
f,2447061807,2634,34003,2447070488,2,7188
s,2447066242,16000,0
f,2447079301,2635,32652,2447087314,6,7960
s,2447092329,16000,0
f,2447096209,2636,34084,2447104120,2,8016
f,2447112179,2637,33091,2447120937,6,7156
s,2447119879,16000,0
f,2447129293,2638,33643,2447137753,2,7456
s,2447145764,16000,0
f,2447146672,2639,32631,2447154566,6,8002
